O que é o efeito estufa?:A capacidade da Terra de refletir toda a radiação solar recebida.|O fenômeno natural que mantém a Terra aquecida, mas intensificado pela ação humana.|Um processo causado pela Lua que altera a temperatura terrestre.|A radiação emitida pelo Sol que aquece diretamente os oceanos.|Um efeito atmosférico sem impacto nas temperaturas globais.:2:imagempadrao3
Qual é o gás de efeito estufa mais abundante na atmosfera devido às atividades humanas?:Vapor d'água.|Dióxido de enxofre (SO₂).|Dióxido de carbono (CO₂).|Oxigênio (O₂).|Monóxido de carbono (CO).:3:imagempadrao2
Como as queimadas contribuem para as mudanças climáticas?:Liberam CO₂ e reduzem a capacidade das florestas de absorver carbono.|Aumentam a biodiversidade das florestas tropicais.|Diminuem a temperatura local e reduzem a poluição.|Protegem a camada de ozônio e reduzem os níveis de CO₂.|Não têm relação com as mudanças climáticas.:1:imagempadrao5
Qual setor econômico mais contribui para o aquecimento global?:Agricultura e pecuária.|Transporte marítimo.|Setor bancário e financeiro.|Indústria de entretenimento.|Produção de plásticos.:1:imagempadrao4
Qual das alternativas representa uma fonte de energia renovável?:Carvão mineral.|Petróleo.|Energia solar.|Gás natural.|Urânio enriquecido.:3:imagempadrao1
Como o derretimento das calotas polares impacta o nível do mar?:Causa o aumento do nível do mar, ameaçando áreas costeiras.|Reduz o nível do mar, criando mais praias.|Não afeta diretamente o nível dos oceanos.|Faz os oceanos evaporarem mais rapidamente.|Provoca o resfriamento global.:1:imagempadrao2
O que é um “refugiado climático”?:Pessoa que migra devido a conflitos armados.|Pessoa que se desloca devido a desastres naturais agravados pelas mudanças climáticas.|Pessoa que viaja a trabalho para países mais frios.|Pessoa que busca refúgio em cavernas para se proteger do calor.|Um termo sem reconhecimento oficial.:2:imagempadrao3
Como a acidificação dos oceanos afeta os corais?:Aumenta sua capacidade de calcificação, tornando-os mais resistentes.|Torna os corais mais coloridos e diversificados.|Dificulta a formação de seus esqueletos, levando ao branqueamento.|Não afeta os corais de forma significativa.|Estimula a reprodução dos corais.:3:imagempadrao4
O que são ilhas de calor urbano?:Áreas desabitadas que possuem temperaturas muito baixas.|Regiões das cidades onde a temperatura é maior devido ao asfalto e concreto.|Locais naturais onde a temperatura é extremamente quente.|Pequenas ilhas tropicais que estão desaparecendo com o aquecimento global.|Zonas de floresta que retêm mais calor do que áreas urbanas.:2:imagempadrao1
Qual destes fenômenos é intensificado pelo aquecimento global?:Terremotos.|Furacões e tempestades.|Eclipses solares.|Movimentos das placas tectônicas.|Auroras boreais.:2:imagempadrao5
Qual ação reduz a emissão de gases do efeito estufa?:Uso de combustíveis fósseis.|Reflorestamento e preservação ambiental.|Aumento da produção de carvão.|Destruição de ecossistemas marinhos.|Queimadas controladas.:2:imagempadrao3
Qual gás tem a maior capacidade de reter calor na atmosfera?:Nitrogênio.|Dióxido de enxofre (SO₂).|Metano (CH₄).|Oxigênio.|Argônio.:3:imagempadrao2
O que caracteriza o fenômeno El Niño?:Resfriamento anormal das águas do Oceano Atlântico.|Aquecimento anormal das águas do Oceano Pacífico, alterando padrões climáticos.|Uma explosão solar que aquece a atmosfera.|Um fenômeno vulcânico que altera a temperatura global.|Mudanças nas correntes de ar polares.:2:imagempadrao4
Como as mudanças climáticas afetam a segurança alimentar?:Aumentam a produtividade agrícola global.|Provocam secas e eventos climáticos extremos que reduzem a produção de alimentos.|Não afetam a produção de alimentos, pois a tecnologia resolve o problema.|Fazem os alimentos crescerem mais rápido devido ao aumento do CO₂.|Tornam os solos mais férteis e resistentes.:2:imagempadrao5
Qual das seguintes ações é uma estratégia para combater as mudanças climáticas?:Aumentar o consumo de carne bovina.|Investir em fontes de energia renováveis.|Reduzir a preservação ambiental.|Aumentar o uso de combustíveis fósseis.|Eliminar políticas ambientais.:2:imagempadrao3
O que acontece com os oceanos à medida que a temperatura global aumenta?:A temperatura das águas diminui.|Aumenta a frequência de tempestades e furacões.|Os oceanos evaporam completamente.|A vida marinha se torna mais resistente.|Os oceanos tornam-se mais ácidos.:5:imagempadrao2
Qual dos seguintes eventos pode ser consequência do aquecimento global?:Redução do nível dos oceanos.|Desertificação de áreas férteis.|Aumento da camada de ozônio.|Diminuição das emissões de CO₂.|Menor incidência de doenças tropicais.:2:imagempadrao4
Como o desmatamento contribui para as mudanças climáticas?:Aumenta a concentração de CO₂ na atmosfera.|Diminui a quantidade de chuvas.|Afeta apenas os animais da floresta.|Não tem impacto relevante.|Reduz a temperatura média do planeta.:1:imagempadrao4
O que pode ser feito para reduzir o impacto do aquecimento global?:Aumentar a poluição industrial.|Usar fontes de energia renováveis e reduzir o desmatamento.|Abolir totalmente o uso de tecnologia.|Extinguir todos os automóveis.|Utilizar apenas carvão mineral como fonte de energia.:2:imagempadrao1
Como a poluição do ar está relacionada às mudanças climáticas?:Ela não tem nenhuma relação.|A emissão de gases poluentes contribui para o efeito estufa e o aquecimento global.|A poluição do ar resfria a atmosfera e reduz as temperaturas.|A poluição melhora a qualidade do ar para os seres humanos.|Ela só afeta a camada de ozônio, sem influenciar o clima.:2:imagempadrao5
