O que são mudanças climáticas?:São alterações nos padrões climáticos ao longo do tempo.|São mudanças causadas apenas por terremotos.|Acontecem apenas em regiões frias.|Não existem mudanças climáticas.|São fenômenos sem impacto na vida humana.:1:imagempadrao1
Qual é a principal causa das mudanças climáticas?:Queima de combustíveis fósseis e desmatamento.|Erupções vulcânicas.|Movimentação das placas tectônicas.|Tempestades solares.|Influência da lua na atmosfera.:1:imagempadrao2
O que podemos fazer para reduzir as mudanças climáticas?:Reduzir o consumo de energia e reciclar.|Não fazer nada, pois é um processo natural.|Aumentar o desmatamento.|Utilizar apenas combustíveis fósseis.|Ignorar, pois não há solução viável.:1:imagempadrao3
O que são gases de efeito estufa?:Gases que ajudam a manter o calor na atmosfera.|Gases que resfriam a Terra.|Gases inofensivos ao meio ambiente.|Gases produzidos apenas por vulcões.|Gases tóxicos que não interferem no clima.:1:imagempadrao4
Como a poluição contribui para as mudanças climáticas?:Aumenta a concentração de gases do efeito estufa.|Reduz a temperatura da Terra.|Não tem relação com o clima.|Diminui a camada de ozônio.|Causa apenas problemas respiratórios.:1:imagempadrao5
Quais são as principais consequências das mudanças climáticas?:Derretimento das calotas polares e aumento do nível do mar.|Resfriamento global.|Diminuição das chuvas em todo o planeta.|Formação de novos continentes.|Aumento da camada de ozônio.:1:imagempadrao1
O que é a camada de ozônio?:Uma camada de gás que protege a Terra dos raios solares.|Uma camada de nuvens que produz chuva.|Uma camada de terra dentro do solo.|Uma camada de gás venenoso.|Uma camada sem importância para o planeta.:1:imagempadrao2
Como o desmatamento afeta as mudanças climáticas?:Aumenta a quantidade de CO2 na atmosfera.|Reduz a temperatura global.|Ajuda a equilibrar o clima.|Não tem impacto no clima.|Aumenta a produção de oxigênio.:1:imagempadrao3
Quais são as fontes de energia sustentáveis?:Solar, eólica e hidrelétrica.|Carvão, petróleo e gás.|Apenas a energia nuclear.|Energia gerada por máquinas a vapor.|Usina termelétrica movida a carvão.:1:imagempadrao4
O que é reciclagem?:Reutilizar materiais para reduzir o lixo.|Jogar lixo em qualquer lugar.|Produzir mais lixo.|Queimar plásticos.|Descartar resíduos no oceano.:1:imagempadrao5
Qual é o impacto do aumento da temperatura dos oceanos?:Pode causar tempestades mais fortes e afetar a vida marinha.|Aumenta a pesca.|Diminui a formação de ondas.|Não tem impacto.|Torna a água mais potável.:1:imagempadrao1
Como podemos economizar energia?:Desligando luzes e aparelhos eletrônicos quando não estão em uso.|Utilizando aparelhos 24 horas por dia.|Aumentando o consumo de combustíveis.|Usando apenas velas.|Evitando o uso de energia solar.:1:imagempadrao2
O que são fenômenos climáticos extremos?:Eventos como furacões, secas e tempestades fortes.|Chuvas comuns do dia a dia.|Mudanças normais das estações.|Eventos que ocorrem apenas em filmes.|Neve no verão em todo o planeta.:1:imagempadrao3
Como o uso excessivo de plástico afeta o meio ambiente?:Polui oceanos e prejudica animais.|Não tem impacto.|Ajuda a preservar o solo.|Produz mais oxigênio.|Aumenta a fertilidade da terra.:1:imagempadrao4
Qual a relação entre mudanças climáticas e agricultura?:Aquecimento global pode causar secas e prejudicar plantações.|Não tem relação.|Ajuda a aumentar a produção.|Favorece apenas culturas tropicais.|Torna o solo mais fértil.:1:imagempadrao5
Como o transporte pode contribuir para as mudanças climáticas?:Veículos movidos a combustíveis fósseis emitem gases do efeito estufa.|Apenas aviões poluem.|Transporte não tem impacto no clima.|Bicicletas aumentam a poluição.|Navios limpam a atmosfera.:1:imagempadrao1
Como a educação ambiental pode ajudar no combate às mudanças climáticas?:Conscientizando as pessoas sobre boas práticas.|Não tem influência.|Incentivando mais uso de plástico.|Fazendo as pessoas poluírem mais.|Ensinando que mudanças climáticas não existem.:1:imagempadrao2
Qual é o papel das florestas no clima global?:Absorvem CO2 e regulam o clima.|Produzem mais poluição.|Não tem impacto no clima.|Aumentam a temperatura.|Reduzem a biodiversidade.:1:imagempadrao3
O que é sustentabilidade?:Uso consciente dos recursos naturais.|Uso ilimitado dos recursos.|Gastar mais energia.|Poluir mais.|Apenas reciclar lixo.:1:imagempadrao4
